,Province,Facilities Reporting,Admissions to Date,Died to Date,Discharged to date,Currently Admitted,Currently in ICU,Currently Ventilated,Currently Oxygenated,Admissions in Previous Day,Date,Eastern Cape,18,13219,3175,9918,55,8,5,5.1,0,Unnamed: 0,Unnamed: 1,Unnamed: 2,Currently Admitted 
78,Limpopo,7,7636.0,1639.0,5837.0,24.0,1.0,0.0,1.0,1.0,2021/11/10,,,,,,,,,,,,,,
79,Mpumalanga,9,9558.0,1593.0,7868.0,15.0,2.0,2.0,0.0,1.0,2021/11/10,,,,,,,,,,,,,,
80,North West,13,10842.0,1608.0,8745.0,56.0,8.0,6.0,9.0,0.0,2021/11/10,,,,,,,,,,,,,,
81,Northern Cape,6,4715.0,784.0,3694.0,23.0,14.0,9.0,1.0,0.0,2021/11/10,,,,,,,,,,,,,,
82,Western Cape,44,32980.0,5686.0,26506.0,647.0,113.0,54.0,34.0,0.0,2021/11/10,,,,,,,,,,,,,,
83,Eastern Cape,18,13220.0,3175.0,9919.0,55.0,8.0,5.0,5.0,0.0,2021/11/11,,,,,,,,,,,,,,
84,Free State,20,11968.0,2126.0,9614.0,59.0,16.0,9.0,11.0,4.0,2021/11/11,,,,,,,,,,,,,,
85,Gauteng,94,72662.0,13767.0,57365.0,932.0,143.0,34.0,51.0,8.0,2021/11/11,,,,,,,,,,,,,,
86,KwaZulu-Natal,47,37455.0,6887.0,29830.0,336.0,69.0,27.0,48.0,6.0,2021/11/11,,,,,,,,,,,,,,
87,Limpopo,7,7636.0,1639.0,5837.0,24.0,1.0,0.0,1.0,0.0,2021/11/11,,,,,,,,,,,,,,
88,Mpumalanga,9,9562.0,1593.0,7870.0,17.0,2.0,2.0,0.0,1.0,2021/11/11,,,,,,,,,,,,,,
89,North West,13,10839.0,1607.0,8747.0,56.0,8.0,6.0,10.0,0.0,2021/11/11,,,,,,,,,,,,,,
90,Northern Cape,6,4714.0,793.0,3696.0,11.0,6.0,4.0,0.0,0.0,2021/11/11,,,,,,,,,,,,,,
91,Western Cape,44,32986.0,5687.0,26510.0,648.0,112.0,53.0,33.0,3.0,2021/11/11,,,,,,,,,,,,,,
92,Eastern Cape,18,13219.0,3175.0,9918.0,55.0,8.0,5.0,5.0,0.0,2021/11/12,,,,,,,,,,,,,,
93,Free State,20,11970.0,2127.0,9616.0,57.0,16.0,9.0,8.0,0.0,2021/11/12,,,,,,,,,,,,,,
94,Gauteng,94,72674.0,13768.0,57371.0,937.0,145.0,32.0,51.0,8.0,2021/11/12,,,,,,,,,,,,,,
95,KwaZulu-Natal,47,37455.0,6884.0,29833.0,337.0,67.0,27.0,48.0,1.0,2021/11/12,,,,,,,,,,,,,,
96,Limpopo,7,7635.0,1639.0,5836.0,24.0,1.0,0.0,1.0,0.0,2021/11/12,,,,,,,,,,,,,,
97,Mpumalanga,9,9565.0,1593.0,7873.0,17.0,2.0,1.0,0.0,0.0,2021/11/12,,,,,,,,,,,,,,
98,North West,13,10838.0,1606.0,8749.0,54.0,8.0,6.0,8.0,0.0,2021/11/12,,,,,,,,,,,,,,
99,Northern Cape,6,4713.0,794.0,3692.0,11.0,6.0,5.0,1.0,0.0,2021/11/12,,,,,,,,,,,,,,
100,Western Cape,44,32997.0,5689.0,26527.0,641.0,113.0,51.0,28.0,1.0,2021/11/12,,,,,,,,,,,,,,
101,Eastern Cape,18,13219.0,3175.0,9918.0,55.0,8.0,5.0,5.0,0.0,2021/11/13,,,,,,,,,,,,,,
102,Free State,20,11971.0,2127.0,9616.0,58.0,16.0,9.0,8.0,0.0,2021/11/13,,,,,,,,,,,,,,
103,Gauteng,94,72673.0,13768.0,57369.0,938.0,145.0,32.0,51.0,1.0,2021/11/13,,,,,,,,,,,,,,
